date,sensor1,sensor2,sensor3
50/14/2024,PUNCDC-1-3,PUNHNZ-1-2.3,PUNH2-1-2.7
36/14/2023,PUNCDC-2-6,PUNHNZ-2-4.6,PUNH2-2-5.4
57/05/2024,PUNCDC-3-9,PUNHNZ-3-6.8999999999999995,PUNH2-3-8.100000000000001
03/01/2024,PUNCDC-4-12,PUNHNZ-4-9.2,PUNH2-4-10.8
09/18/2023,PUNCDC-5-15,PUNHNZ-5-11.5,PUNH2-5-13.5
12/13/2023,PUNCDC-6-18,PUNHNZ-6-13.799999999999999,PUNH2-6-16.200000000000003
17/02/2024,PUNCDC-7-21,PUNHNZ-7-16.099999999999998,PUNH2-7-18.900000000000002
38/12/2023,PUNCDC-8-24,PUNHNZ-8-18.4,PUNH2-8-21.6
21/22/2023,PUNCDC-9-27,PUNHNZ-9-20.7,PUNH2-9-24.3
35/19/2023,PUNCDC-10-30,PUNHNZ-10-23,PUNH2-10-27
37/27/2024,PUNCDC-11-33,PUNHNZ-11-25.299999999999997,PUNH2-11-29.700000000000003
38/10/2023,PUNCDC-12-36,PUNHNZ-12-27.599999999999998,PUNH2-12-32.400000000000006
51/16/2024,PUNCDC-13-39,PUNHNZ-13-29.9,PUNH2-13-35.1
04/15/2024,PUNCDC-14-42,PUNHNZ-14-32.199999999999996,PUNH2-14-37.800000000000004
38/23/2023,PUNCDC-15-45,PUNHNZ-15-34.5,PUNH2-15-40.5
22/02/2023,PUNCDC-16-48,PUNHNZ-16-36.8,PUNH2-16-43.2
56/17/2024,PUNCDC-17-51,PUNHNZ-17-39.099999999999994,PUNH2-17-45.900000000000006
07/15/2023,PUNCDC-18-54,PUNHNZ-18-41.4,PUNH2-18-48.6
00/09/2023,PUNCDC-19-57,PUNHNZ-19-43.699999999999996,PUNH2-19-51.300000000000004
15/14/2023,PUNCDC-20-60,PUNHNZ-20-46,PUNH2-20-54
46/21/2023,PUNCDC-21-63,PUNHNZ-21-48.3,PUNH2-21-56.7
25/23/2023,PUNCDC-22-66,PUNHNZ-22-50.599999999999994,PUNH2-22-59.400000000000006
48/06/2024,PUNCDC-23-69,PUNHNZ-23-52.9,PUNH2-23-62.1
17/14/2023,PUNCDC-24-72,PUNHNZ-24-55.199999999999996,PUNH2-24-64.80000000000001
42/31/2024,PUNCDC-25-75,PUNHNZ-25-57.49999999999999,PUNH2-25-67.5
49/05/2024,PUNCDC-26-78,PUNHNZ-26-59.8,PUNH2-26-70.2
50/23/2024,PUNCDC-27-81,PUNHNZ-27-62.099999999999994,PUNH2-27-72.9
52/23/2024,PUNCDC-28-84,PUNHNZ-28-64.39999999999999,PUNH2-28-75.60000000000001
07/08/2024,PUNCDC-29-87,PUNHNZ-29-66.69999999999999,PUNH2-29-78.30000000000001
08/10/2024,PUNCDC-30-90,PUNHNZ-30-69,PUNH2-30-81
22/09/2024,PUNCDC-31-93,PUNHNZ-31-71.3,PUNH2-31-83.7
00/25/2024,PUNCDC-32-96,PUNHNZ-32-73.6,PUNH2-32-86.4
08/02/2024,PUNCDC-33-99,PUNHNZ-33-75.89999999999999,PUNH2-33-89.10000000000001
05/10/2023,PUNCDC-34-102,PUNHNZ-34-78.19999999999999,PUNH2-34-91.80000000000001
33/12/2024,PUNCDC-35-105,PUNHNZ-35-80.5,PUNH2-35-94.5
23/18/2023,PUNCDC-36-108,PUNHNZ-36-82.8,PUNH2-36-97.2
54/27/2024,PUNCDC-37-111,PUNHNZ-37-85.1,PUNH2-37-99.9
39/14/2023,PUNCDC-38-114,PUNHNZ-38-87.39999999999999,PUNH2-38-102.60000000000001
33/12/2024,PUNCDC-39-117,PUNHNZ-39-89.69999999999999,PUNH2-39-105.30000000000001
21/04/2023,PUNCDC-40-120,PUNHNZ-40-92,PUNH2-40-108
50/07/2024,PUNCDC-41-123,PUNHNZ-41-94.3,PUNH2-41-110.7
59/26/2024,PUNCDC-42-126,PUNHNZ-42-96.6,PUNH2-42-113.4
36/12/2023,PUNCDC-43-129,PUNHNZ-43-98.89999999999999,PUNH2-43-116.10000000000001
08/20/2024,PUNCDC-44-132,PUNHNZ-44-101.19999999999999,PUNH2-44-118.80000000000001
54/04/2023,PUNCDC-45-135,PUNHNZ-45-103.49999999999999,PUNH2-45-121.50000000000001
35/16/2023,PUNCDC-46-138,PUNHNZ-46-105.8,PUNH2-46-124.2
08/05/2024,PUNCDC-47-141,PUNHNZ-47-108.1,PUNH2-47-126.9
