Index,Organization Id,Name,Country,Description,Founded,Industry,Number of employees
1301,001d9DeBfFD6DD3,Rosario Inc,Tonga,Triple-buffered responsive strategy,2017,Food Production,7004
7760,0022B257Ffa127C,"Humphrey, Hutchinson and Wolf",Argentina,Versatile asymmetric monitoring,2001,Restaurants,886
121,003c7d245f78Fc2,"Rodriguez, Morrow and Salinas",Cape Verde,Pre-emptive exuding installation,1987,Electrical / Electronic Manufacturing,2136
5535,0061eCddf8D4feB,"Duarte, Beasley and Casey",Liberia,Multi-lateral logistical architecture,1980,Furniture,10118
9160,0073a18e382f1C8,Mitchell Inc,American Samoa,Progressive neutral interface,2016,Publishing Industry,6972
1221,008E06ba7DAad62,Mullins-Sawyer,Kuwait,Monitored 24hour focus group,1994,Business Supplies / Equipment,4054
8157,009a9Ca1E9a2f32,"Mayo, Yates and Weaver",Maldives,Innovative regional ability,1970,Industrial Automation,19694
4102,00a5464cCb71Ecb,Salinas and Sons,Pitcairn Islands,Enhanced well-modulated paradigm,2014,Human Resources / HR,16022
5211,00aE580BDFD7fa7,Frey LLC,Nicaragua,Down-sized clear-thinking secured line,1974,Supermarkets,10514
1903,00bFb71Ff6c0fFd,Jackson PLC,Romania,Optional intangible complexity,2007,Automotive,2966
9169,00c5B463aCD4FBe,Hopkins-Harvey,Gabon,Reactive full-range moderator,2007,Industrial Automation,15754
4333,00C65c90CDEEdcD,Cole-Chavez,Senegal,Operative human-resource benchmark,2013,Import / Export,12870
5349,00C66E78af6ADaB,"Mcguire, Payne and Turner",India,Multi-tiered 24hour forecast,2020,Leisure / Travel,5144
1243,00Dc17F0688f258,Orr Group,Niue,Fundamental multimedia parallelism,2001,Logistics / Procurement,17122
6718,00DCCEcF5Fd7bA9,Carter and Sons,Lithuania,Universal contextually-based algorithm,1989,International Affairs,16330
497,00DdBda1Ee4609F,"Mills, Baird and Johnston",Cambodia,Front-line logistical hub,2001,Luxury Goods / Jewelry,7224
8080,00E09AbCEfF3de5,Richard PLC,Brazil,Quality-focused reciprocal extranet,1999,Dairy,4914
7696,00e2e75d4dD2Abb,"Turner, Gamble and Goodwin",Sierra Leone,Universal solution-oriented approach,1997,Medical Practice,18444
2104,00EfaCed3d12C0a,Dalton Inc,Malta,Assimilated encompassing hub,2003,Design,6636
5432,00ffDaadfEBDd00,Jimenez Inc,Sao Tome and Principe,Multi-lateral demand-driven encryption,2011,Public Safety,15348
122,0103060f81d444D,Patton-Randall,Bangladesh,Virtual systematic policy,1977,Security / Investigations,4742
2336,0114FD13bbEEFAA,Reyes-Burke,Uganda,Ameliorated even-keeled hardware,1999,Insurance,17476
6551,011fD5761De7fA4,"Gentry, Arias and Welch",French Polynesia,Front-line client-server forecast,1978,Government Relations,14726
4291,0122a43d3DcbBb9,"Church, Hartman and Allison",Saint Helena,Synergized coherent groupware,1994,Real Estate / Mortgage,18830
1470,0134f221640a777,Grimes LLC,Czech Republic,Reactive client-driven info-mediaries,2003,Accounting,13784
3990,01447Dd5CD266bF,Hall Group,Timor-Leste,Virtual interactive hierarchy,2002,Public Safety,8746
7797,014DAbBe61EccF1,"Villa, Sloan and Wise",Macedonia,Optional bottom-line access,1974,Leisure / Travel,16156
4189,015696caFA0FbE8,"Pennington, Browning and Bray",Honduras,Triple-buffered object-oriented project,1991,Hospitality,9082
1802,0159F7ceeE103b8,"Conner, Shaw and Buckley",Mongolia,Team-oriented interactive structure,2005,Farming,7060
897,016edF9bD6Cf976,Kaiser Ltd,Brazil,Ameliorated incremental hierarchy,1990,Wireless,11588
